Country,Survey,Characteristic,Breastfed children 6-23 months fed both 4+ food groups and the minimum meal frequency,Number of breastfed children 6-23 months,Number of breastfed children 6-23 months (unweighted),Non-breastfed children 6-23 months fed milk or milk products,Non-breastfed children 6-23 months with 3 IYCF practices,Number of nonbreastfed children 6-23 months,Number of nonbreastfed children 6-23 months (unweighted),Children 6-23 months fed 5+ food groups,Children 6-23 months fed the minimum meal frequency,Children 6-23 months with 3 IYCF practices,Number of all children 6-23 months,Number of all children 6-23 months (unweighted)
Kenya,2022 DHS,Total,33.3,1984,2269,51.9,20.4,517,554,36.9,70.9,30.7,2501,2823
Kenya,2022 DHS,Sex : Male,33,989,1173,52.2,21.9,246,272,36.9,69.2,30.8,1236,1445
Kenya,2022 DHS,Sex : Female,33.7,995,1096,51.7,19.1,270,282,37,72.6,30.5,1265,1378
Kenya,2022 DHS,Residence : Urban,45,672,694,53.3,24.6,220,211,47.7,76.4,39.9,892,905
Kenya,2022 DHS,Residence : Rural,27.4,1312,1575,50.9,17.3,296,343,30.9,67.9,25.5,1609,1918
Kenya,2022 DHS,Education : No education,12.6,201,501,55.7,1,46,119,12.7,40.8,10.5,248,620
Kenya,2022 DHS,Education : Primary,29.2,750,770,41.7,14.6,163,175,30,70.9,26.6,914,945
Kenya,2022 DHS,Education : Secondary,33,701,678,51.2,23.9,179,166,41.3,72.4,31.2,880,844
Kenya,2022 DHS,Education : Higher,55.9,331,320,64.6,29.9,128,94,55.3,84.3,48.6,460,414
Kenya,2022 DHS,Education (2 groups) : No education or primary,25.7,952,1271,44.8,11.6,209,294,26.3,64.5,23.2,1161,1565
Kenya,2022 DHS,Education (2 groups) : Secondary or higher,40.4,1033,998,56.8,26.4,307,260,46.1,76.5,37.2,1340,1258
Kenya,2022 DHS,Wealth quintile : Lowest,13.9,478,786,38.7,11.6,96,157,16,56.6,13.5,574,943
Kenya,2022 DHS,Wealth quintile : Second,26.4,363,388,38.6,11.4,95,102,29.7,65.7,23.3,457,490
Kenya,2022 DHS,Wealth quintile : Middle,32.3,346,374,64.1,18.1,88,108,34.5,72.5,29.4,434,482
